post,tema,topic
skoro zajebavao onoj temi glasanje izgledala srbija dodje ai revolucije statiznam razmisljam ovako ce naredni period dobar nezgodan mali deo onoga trenutno izgleda dohvatljivo tehnologiji ustvari dohvati vasa predvidjanja recimo ,drustvo,NA
ajmo prvo promenilo d,drustvo,NA
 onako relativno pozitivnoj noti reko misljenja srbija nece nuzno prodje naopako tehnologija pogura drustvo ka nekom kolektivizmu statiznam ce najvise zaostanu prihvataju tehnologiju misle djavolja rabota ultra religiozni jedino plasi svemu nece zaostao godina uhvatis voz genetskom modifikacijom ai prvih godina perspektive nekog uhvatio voz nece razlike izmedju sudana srbije edit napisao koj razumem ni ja,drustvo,NA
 teme napisah desi zakasnis svetom predvidjanja buducnost srbije ce ljudi postanu genetski modifikovani kiborzi supermocima povezani globalni ai alijansi singularitet pocinje sastavlja najmocnijih zemalja vodjena kinom amerikom uz protivljenje rusije evropskih zemalja srbiji pojavljuju dve struje jedna hoce postane deo alijanse druga drzi tradicionalizma paradoksalno hoce postane zove progresivna napredna stranka narod uglavnom tradicionalan drzi starih srpskih vrednosti kosova pravoslavlja polagano evropi prelaze alijansu postaju cipovani dobijaju super moci gube dusu izmedju dolazi prevrata srbiji pro singularitet struje dobijaju vlast pripremaju kiborgizaciju naroda odjednom aprila izbija masovni protest beogradu sloganom majka rusija genetika puno ljudi gine ruse laboratorije dize velika pravoslavna crkva ce podsecati narod zrtvu ponosno drzanje tradicionalnih vrednosti ceo slobodni svet aplaudira malom ponosnom narodu odbacio okove genetske modifikacije cipovanja rusi drze svece pravi protiv alijansa ce boriti protiv dehumanizacije sveta januara rusija pridruzuje alijansi nakon izdejstvovali putin vladajuca stranka postanu jedni glavnih kiborga najnovijim apdejtima januara kiborg bugari prelaze srpsku granicu nasa vojska brani svom silinom svih mig aviona ponosno biva zrtvovana prvih sekundi borbe januara popodne bugari ugradjuju cipove pise evropljanin redni broj verzija bugari verzija nocna jbt,drustvo,NA
 srbin dalje čeka red pošti plati račune,drustvo,NA
druga strana ovoga postoji dobra sansa ce depresija zajebana buducnosti covek najzad dostigne nivo potpuno izbaci kakvog doprinosa ekonomiji ekonomije prestanu zavise velikog broja ljudi ti vladaru dovoljno mala elita skolovanih armija masina koj lecis skolujes dajes im pravo glasa lepo diktatura ukurac tipa mali broj ljudi postane kul a ogromnu vecinu lose,drustvo,NA
 razmislim ustvari dal uopste postoji film prikazuje dobru buducnost ovakva sranja tipa tih bile price masinama rade lepo generalnu misao kompjutere robote rade a lepo robota oce dupe konstantno generise energiju blak mirori ostala dobar znak posto fikcija obicno nekako pretskazuje kom smeru ide drustvo kakva prica buducnosti ustvari menja buducnost,drustvo,NA
 najveci naucnici kraja veka veka sastali pricaju tome bismo mogli najebati strane ai potencijalno im poprilicno verujem posebno pokojnom iskrivljenom stivenu hokingu,drustvo,NA
 price cak potporu realnosti tj postoji realana verovatnoca dodje dosta strasnije trifors price recimo gusterima recimo strasna realizacija vestacka inteligencija ustvari uopste dobije svest po definiciji kojom smatramo svest totalno promeni drustvo radi polagano pogleda internet totalno besvesna cenzurise tj pretstavlja ti vidis bukvalno menja celo drustvo globalno price radi cija sedokosi vladari vlade bukvalno jedno koraka iza ovoga gledaju a znaju gledaju problem ustvari,drustvo,NA
srbija ostareli vozd aleksandar vucic drzi vanrednu konferenciju stampu nagovestaj pristinskih lidera vreme presevska dolina pripoji kosovu tumaci provokaciju konstatuje najbitnije razvijamo nasu ekonomiju rastemo jacamo mu veli smejali rekao ce prosecna plata kraja dostici evra izvestaj maja kaze tada racunate danasnji kurs moguce zahvaljujuci tome narod prepoznao energiju vlade srbije velikoj meri podrzao vlast skupstini sps predstavnici nacionalnih manjina jedini grad opozicija lokalnoj skupstini sabac bombas vukajliji kojoj sem aktivna clana argumentuje piitanje zivota smrti ce zelenovic prebaciti cenzus sumnja kaze realno otkako partizan ugasen dragan djilas jutjubu objasnjava stanje normalno drzava miliona stanovnika miliona biraca opozicija smatra bojkot dovoljan vlast definitivno izgubi legitimitet ocima eu eu porucuju srbija nastavi svoj evropski put obecavaju otvaranje preostala dva neotvorena poglavlja kraja godine porucuju postici pravno obavezujuci sporazum pristinom ulaska eu n pod udarom vlasti insajder dokumentarca tome zeljko mitrovic nezakonito stekao monopol nad industrijom letecih vozila srbiji zorana mihajlovic obecava ce infrastruktura neophodna leteci automobili uskoro zasijaju srpskim nebom gotova najkasnije goran vesic najavljuje skori nastavak radova prvoj metro liniji zasad izgradjena potezu makis banovo brdo beogradu zivi zvanicno miliona ljudi nekih populacije,drustvo,NA
 zgrade veće auta bolja telefoni supernapredni kompjuteri jedva koristiti tv izumire radio ,drustvo,NA
projektujes sadasnjost rusen berlinski zid padao komunizam pocinjao rat mislili sfrj sobzirom stvari ubrzavaju pogledas recimo projektujes ,drustvo,NA
 otkupila licencu golf proizvodi motorom vodonik,drustvo,NA
vidim provejava strah tehnologije zamena ljudi robotima radi jeftinije proizvodnje kul ti kupuje proizvode ljudi nemaju prihode,drustvo,NA
 pravu celt zajebavam al dosadasnje iskustvo govori male sanse cemo narednih godina postati normalno drustvo,drustvo,NA
bombas novac sredstvo razmene cemu sluzi novac grupa ljudi dobio kontrolu nad tehnologijom ti daje neogranocenu moc nad okolinom sobom npr vecnaja mladost novac vrednost koj ce ti koc pltis ljude svojom energijom odrade ,drustvo,NA
 pišem letećim autima kakva razlika života života kompjutera telefona boljih televizora pišem politici tehnologiji imaćemo hologram telefona eto vr rasprostranjen,drustvo,NA
 muzika losija devedesetih,drustvo,NA
 posledica tehnologije,drustvo,NA
 pišem letećim autima kakva razlika života života povrsini cini zivot isti dzepu orakl pitas znas a interesuje koga pricas drugarima razmenjujes ideje futurizmu totalno nepoznatim ljudima gledas drugi ljudi jebu nalazis ti jebes kupujes prodajes statijaznam sitnica,drustvo,NA
 prodavaće veštački udovi crnosvetske razlike postati velike opasnost velikog pičvajza dobar deo svetske populacije preskakati civilizacijske stepenike bivaće im dostupna tehnologija razumeti računam narod nećemo doživeti kulturološki skok ćemo ostati seljačine skladu tim vremenom postojati partije stvari sjebati demokratiju uopšte ovakva pandemija a kamoli drugi svetski pičvajzi remete ekonomski poredak ,drustvo,NA
male stvari prave velike promene leteci automobili pitas gugl gluposti gledas stvari a gugl gleda pravi profil cak postane samosvesna masina vreme ce vecinu ljudi ljudi znaju iznenadjujuce tezak posao pricam roditeljima partnerima slicno posledica polagano tiho prica pogledaj naci ces istinu najbolje prestaje validna budala nece poslusa mu kaze orakl jednostavno daje prednosti zivotu nauci ti hoces ce personalni virtuelni asistenti zakazuju sastanke asistentima drugih ljudi gugl ti nadje savrsenu zenu auto kucu izgled redjaj jednostavno bices budala prihvatis e prestaje koncept slobodne volje sopstvenog misljenja a menja ljude drustvo jebenog leteceg automobila niko gleda nekako skroz ok,drustvo,NA
e a pricam dogadja najvece tice futurizma rekli englezi sejf bet,drustvo,NA
 povrsini cini zivot isti dzepu orakl pitas znas a interesuje koga pricas drugarima razmenjujes ideje futurizmu totalno nepoznatim ljudima gledas drugi ljudi jebu nalazis ti jebes kupujes prodajes statijaznam sitnica zadnja dalje futurizam d ja celte kažem fazon ćeš moći izvadiš portabl vr hologram džepa stvoriš tetku nemačke pored ispričate tiče letećih auta podzemnih gradova tih ultra futurističkih sranja poranili vekova,drustvo,NA
 jako drago diskutujem vukajliji svima inače uživo poznajem ukupno čoveka mogao ovakvim stvarima pričam,drustvo,NA
 nauci ti hoces ce personalni virtuelni asistenti zakazuju sastanke asistentima drugih ljudi gugl ti nadje savrsenu zenu auto kucu izgled redjaj jednostavno bices budala prihvatis e prestaje koncept slobodne volje sopstvenog misljenja a menja ljude drustvo jebenog leteceg automobila a pravu prerano suštini volim ,drustvo,NA
ma predaleko radi najvece vestacke neuronske mreze prate pogledao otkucao internetu prave profil prate interesovanja zelje fetise bolesti mrzis jutubu trazis odmah hoces cesto ti ponudi sadrzaj strane mogao kupis znaci ti menja ponasanje time gledas citas ti menja mislis pomaze odradis oces radi ni jedna osoba kolko trifors mislio kompjuter kompjuter kroz ostvaruje promenu fizicke realnosti kolko ti promenis ikakvog cilja odnosno ciljem pomogne nekom drugom ti proda dodaj ostale podatke podelis zdravstvene fizicke kolko vezbas kolko pravi bolja slika stvari ce vestacka inteligencija bolju procenu dusa hoce opciju predas slobodnu volju mislis algoritmu patis gledas predali lagano uzimaju moglo ogromna vecina ce prihvatiti dil realno los fali pomoc cini mudrijim problem nastaje drustvo krene menja pocnu budu kontrolisani automatskom vestackom inteligencijom dolazi etickih problema sukobe dva interesa kontrolise ista vestacka inteligencija pobedi ai postaje gospodar morala pravde dalje blize izgleda ce desiti polagano neprimetno problem orudje problem napravimo tolko dobru stvar postanemo orudje,drustvo,NA
 gospodar morala pravde pocinje nazire pitanje bitno kriv postane viralno jeste vrlo brzo veze sudija porota misle a postaje viralno kontrolise mislis postoji ljudi najbolje snasli precutno dogovorili vestackom inteligencijom kazem provalili deli ljudima ti oces platili svejedno nacin podrzali,drustvo,NA
 cinilo ce zanimljivo ,drustvo,NA
daj ubacim temu preporucio knjigu den brauna poreklo jedna lepa ideja tome moglo ceka buducnost,drustvo,NA
ja onako dobio ovu mini krizu identeta knjige homo deus lik lepo verbalizovao znao prave ljudi svasta potsvesno razmisljaju terminator scenariju foru dokle svest a daleko niko radi ni potrebe niti verovatno samosvest uopste potrebna dobar ai totalno promeni drustvo neprepoznatljivosti polagano upozna,drustvo,NA
 svest primarna ai singularitet istog dođe svom kvantnom sveznanju prelako doći zaključka ratovi besmisleni dalje povezavši svoj superdatabase preneti poruku vrlo moguće psihodelično iskustvo anplaguje decentralizuje manje jedinice služiti čovečanstvo imati božanske moći prethodno takvom stanju dosadan bespotreban nemoj ponavljam kreator simpsonovih matt groening mason dan braun mason barak obama čelu netflixa zajedno nekim sumnjivim ljudima naravno formiraju mišljenje svih ostalih ovaca gledaju black mirror fun fact black mirror ekran shvati postoji novo pod suncem njihove taktike formiranja javnog mnjenja vrlo vešto implementirane kroz stoleća vladaju veruješ ti dokaz gebelsova zaostavština propagande evoluirala paper ai dospela singulariteta kontrolisati strane pojedinaca grupe ljudi štaviše postoji ai blueprint mali milion operativnih sistema stave komande tipa cenzuriši mms gugl pretragama program činiti besvesti ti celte navodiš upravo programiran programiran programira moglo reći,drustvo,NA
 vi mrcite singularitetu a pola nacije upalu pluca upravo,drustvo,NA
lecio umem upale pluca onako sedim kuci visak vremena razmisljam singularitetu,drustvo,NA
 upale pluca epidemije generalno plasite ,drustvo,NA
elem triforce svest primarna plasi vrlo mocan informativni sistem ai totalno nesvesan kontrolise svet bukvalno postane uticajan totalno zanemari ljudsku svest slobodnu volju ugusi imace svest mozemo projektujemo nasu definisana culima vidimo cujemo osecamo uopste takva svest ostalo masoni videi kacis no koment ai dospela singulariteta kontrolisati strane pojedinaca grupe ljudi štaviše postoji ai blueprint mali milion operativnih sistema stave komande tipa cenzuriši mms gugl pretragama program činiti besvesti ti celte navodiš upravo programiran programiran programira moglo reći projekcija inteligencija nacin humana slicna onom znamo kontrolise greska napisao zasto futurizamstranapost najvise plasiti totalno nesvesnih promena oces cuvas humanost nacin uspemo napravimo ai svakom smislu ljudsku svest posledicno losa stvar,drustvo,NA
kenjaju singularitetu osnovu yt klipova,drustvo,NA
de de procitao knjige,drustvo,NA
partija budućnost vizija druga predsednika budućnost budućnost,drustvo,NA
 negde umetne ekološki problem njegove posledice po društvo jednačinu vidim iko spominje a imaće velik uticaj budućnost čovečanstva,drustvo,NA
čista voda hrana obnovljiva energija prvom mestu potrebno veliko otkriće mislimo porokamo mad maxu desetina godina upravljanje otpadom važna tema ,drustvo,NA
