post,tema,topic
evropsko prvenstvo fudbalu održati nemačkoj juna jula godine a žrebu hamburgu izvučene grupe šampionat otvaraju nemačka škotska juna minhenu a grupa nemačka škotska mađarska švajcarska b grupa španija hrvatska italija albanija c grupa slovenija danska srbija engleska d grupa plej of a holandija austrija francuska e grupa belgija slovačka rumunija plej of b f grupa turska plej of c portugal češka,sport,NA
 l popunjena plej of mesta ispratio,sport,NA
super l izadao album euro,sport,NA
al b grupa jebena žao ,sport,NA
konacno official tema,sport,NA
uvodni post vnugo skim ukrstano daj vidim put zlata grupe,sport,NA
hahah kopirao vikipedije ček,sport,NA
 super l izadao album euro izašo mesec dana ja preskačem topps,sport,NA
grupa a nemacka dvajcarska dkotska mađarska grupa b albanija italija hrvatska dpanija grupa c srbija engleska danska slovenija grupa d austrija francuska holandija poљska grupa e rumunija belgija slovacka ukrajina grupa f cedka turska portugalija gruzija,sport,NA
ažurirane grupe,sport,NA
 mog promenim uvodni post kajzen,sport,NA
grupe e f smejurija,sport,NA
izašo mesec dana ja preskačem ihtopps ok potražiću album revidirati oceniti ja raduje info,sport,NA
gleam vidim nigde stage ii netu izgleda novi broj repki komplikuje vrv ce zreb toku takmicenja,sport,NA
 fnafbcdnnetvt eccb ncsidfncohcolzyteacryqknvgggotznchtscontentfbeg fnaohaycziuzuhoobzlovaggskoqidtedtbbgedwoedc drdte gaće braćo,sport,NA
radujem ivani knol ocemol imati official prepicku dize atmocveru,sport,NA
ahaahah aj beži ivana knol imaćemo duu lipu,sport,NA
dobra instagramu svejedno necu jebati uzivo rusi djeda bozicnjaka,sport,NA
 kurve žeљne pažњe tekme engleskom sigurno ,sport,NA
simsilice pixi necemo blamiramo moyda odbrani igramo,sport,NA
 jedno prvenstvo gledam potpuno rasterećeno bezbrižno uz kaficu vops prepunoj basti kafića la vie est belle,sport,NA
 a ozb zamisli gledam nase mucenike dozivljavam stresove pitam radimo dospjeli uopste nek drže prijateljskih ojačaju,sport,NA
a jeste kapiram ja doživeo vrstu katarze otkako konjušar javno deklarisana botina ni najmanje tangiraju njegovi fejlovi miru apsolutnim guštom ispratim dešavanja sportu pod obručima,sport,NA
cist autosovinizam oba primera,sport,NA
 osmoricom odbrani primimo gola mister odluci veliki strucњak,sport,NA
mister krinkle,sport,NA
pixi trenutno real ubazda njegovom putu zoc bukv,sport,NA
 osim teškog debakla xporaz razlike uspeh piksi jedno tvrdoglavo stvorenje jedini put odustao njegove nazvaćemo taktike nesrećni bunker protiv brazila vidim način primimo komada engleza l gore bunker viktorije probamo im damo gol glavi onih kvalifikacijama euro fcking linekerbrdslibarns slovence ispratio uzimali nekog igra fudbal klepili po tintari a danci pobede tri meča prilagodi taktika nismo moćni idemo foru nek protivnici koriguju svoju taktiku igramo predvidljivo madjari objasnili relativno slabija ekipa uništi umesto piksi nauči nastavio svoju demagogiju menja taktika igrači uklapaju taktiku a jni gudelj mu kičma tima,sport,NA
 imamo individualno pretalentovane sportiste svakom sportu glupe kasnije postaju gluplji treneri veze stranačkih zasluga,sport,NA
 širi spisak engleske stvarno iznenađen rashforda neizostavan član svake sautgejtove repke jebiga izgleda ispuco sav kredit a mučeni solanke ispušio vreme prešalta nigeriju uradio menadžera ajvan toni diskutabilna odluka najblaže rečeno svakako ni ni drugi primirisali terenu osim izmene minutu vode starteri utakmicama protiv slabijih protivnika srbija ,sport,NA
lolol megvajer dobio poziv n a d e a d e,sport,NA
 zvali rashforda,sport,NA
engleska najprecenjenija repka svetu ikad pobedice znamo kurca al eng inace suvi prosek jebeni igraju cene napumpane svakako italija jedna tipa ce resi prelagano a jaca repka,sport,NA
englezi ubd najveći kompleksaši sportu ni jednoj viđenijoj disciplini redovno olimpijadama pokupe medalja tuce al nekim šljb sportovima tipa veslanje guščjim perjem skakanje po kurcu umetničko bacanje pod voz peče kilavi,sport,NA
a igra prvenstvo fudbalu razlog,sport,NA
 odredi najbolji trenutno,sport,NA
zapravo pitanje,sport,NA
jebače ti navijaš rajh ni pitamo pravi festival vaterland osvoji domaćem terenu,sport,NA
 obzirom kolko glup razlog,sport,NA
 macka uzima ker xnio xnio xnio,sport,NA
 kom smislu pitanje zašto dovoditi pitanje igranje ovog jednog takmičenja zašto igra svetsko prvenstvo azijska liga šampiona estonski kup pitanje izdrkavanje malenog vidite ja pratim sportove ja bavim bitnijim stvarima životu filosofija vjera boja kože oblici lobanja ljudi poznajem ,sport,NA
rare smoleman win,sport,NA
 smislu pomazimo po glavi ponekad ublažavamo šansu spontani masakr heklerom studentskoj menzi bar a izbor repstacije pravu ,sport,NA
jebace lakse stvorices monstera kapsula tesna,sport,NA
taman rekoh napravim grupu napljujem baletane al vidim vredan,sport,NA
plašim potopa protiv engleza tipa ,sport,NA
ma opudteno pladili potopa protiv brasila uz najљepdi gol turniru,sport,NA
 nebitno pixi gledanje kakva mejmuncina,sport,NA
 vucić retoriku lupeta spinuje muљa debil odvratni,sport,NA
 aca lukas gospodin sećam ovoga kacam gledo godina aahhahahah,sport,NA
retard utalio uzeo para para a ovamo jede cim pita uzimas izadje tv odlazak euro iskupio svecko dajte novaca,sport,NA
bar ce rade kladionica imati materijala kvalitetno sere steta prodo puste rts uopste put,sport,NA
nemojmo zaboraviti antić nikakav uspeh najjacom repkom posledњih godina,sport,NA
al formacije barsa lol ovi srednji trče napred nazad l ukapirao rupčaga jebena xd,sport,NA
 totalni fudbal dddddddd,sport,NA
prva poslednja slovencima ok losi termini gledanje,sport,NA
 nismo favoriti ni sutra prijateljskoj šveđanima lol,sport,NA
a ni plasirali eruo,sport,NA
avg srb izgleda modz osokoli repka prodje jokara kae d a a,sport,NA
stae englezi popusili islanda bice mesa,sport,NA
engleska italija engleska italija mesto fifa rang listi ljudi očajni fudbalu,sport,NA
uuuu veceras ibracadabra oprasta uz srbiju a koga drugog izabrati full rispekt ledjendu,sport,NA
ma ja mislio lik penzioniso ore godine,sport,NA
iličić spisku slovenije btw jebaće joshka,sport,NA
psiho rajković golu aha ok japanac strucnog dtaba peva himnu top,sport,NA
 verue tim cujem,sport,NA
gol protiv portugala,sport,NA
najsvetliji momenat novijoj istoriji,sport,NA
dobra reakcija mitrovića uklizavaњe lob eo dudebrižnici prolazimo grupu,sport,NA
prolazimo grupu kupu malih evropskih zemalja lol vidiš ti kakva švedska gledam makedoniju,sport,NA
sprdam naravno promadaj vlahovića stilu krasića ,sport,NA
velesila,sport,NA
 odbrana presmotana rispekt rajkovića,sport,NA
zatisje pred jednu dobijemo bice ce obj uspeh,sport,NA
bolestan covek žeљa a zdrav jednu dobijemo engleze,sport,NA
aha lepo izujemo moramo uradimo teško doduše ide nem ruku mitro ume pakuje englezima a vlahović ode put arsenala čelzija sasvim ok odigra nivou zavuče dva komada,sport,NA
hehe pocelo lozenje,sport,NA
 loženje englezi prehajpovali po običaju a masa igrača im formi izašli nekih povreda napravili ni daleko jačim timovima,sport,NA
lol dobar stadion engleska igraju stadionu napaja pivomvest kae argentina ubacila komata,sport,NA
dance svetimo gu a slovence vidara promasio penal nismo otisli bod bukv,sport,NA
 oderemo zmajčeke vučem traume onog evropksog košarci jebali,sport,NA
 ni kriv ni dužan budim noću navijam protiv dončića finalu nba lol,sport,NA
protiv doncica a on srbin rece momak kriv nismo angazovali zovemo repku kosarkasi on jokic netalentovani bitno pretalentovan rade zakurac dangubic inace engleska go a golji,sport,NA
 ibra broji tri šveckom maternjem hnjo hnjo,sport,NA
favoriti naslov euru prema fabriziju romanu engleska francuska njemačka španjolska portugal italija nizozemska danska srbija hrvatska,sport,NA
ball knowledge ,sport,NA
 a ce brazil uzne,sport,NA
 englezi proslo jevropsko finalu tradiciju,sport,NA
ja dalje nakon svih ovih godina navijam italiju,sport,NA
ita fra spa odvratni englezi njemci,sport,NA
 igra srbija gospoda navija ger fra ned svetsko prihvata urugvaj kraj spiska ostalo koupovi iili ciganisanje,sport,NA
