"post","tema"
"Ovom prilikom pozivam sve filmofile da razgovaramo o čemu drugom nego o - filmovima.
Napište koje volite, koje ne volite, napišite svoja mišljenja o nekima, dajte preporuke i šta vam god još padne na pamet.

Za početak, mogu navesti neke od svojih favorita: Brazil, Rosencrantz and Guildenstern are dead, Metropolis, M, Orlando, Der Todesking...","umetnost"
"U, dobar si, dobar si.","umetnost"
"Jesi li gledao ""Immortal Beloved""? Pitam te pošto videh da je ""Amadeus"" prvi.","umetnost"
"Nije nešto, u pravu si, ali Oldman je bio sjajan. Kako ti se čini Gilliam?","umetnost"
"Stare lepotice, dakle. Mae West i ostalo.","umetnost"
"""Rosencrantz and Guildenstern are dead""

Човече, од кад нисам чула за овај филм...
Кад сам била млађа био ми је један од омиљених...

Сад ценим европску и азијску кинематографију...
Не бих да издвајам неке филмове посебно...","umetnost"
"Moj favorit  Dr. Strangelove. To mi je tako duhovit film da mogu da ga gledam 1000 puta.","umetnost"
"Betty Blue - film k'o da je o meni pravljen
Bad Santa - takodje
Let iznad kukavicjeg gnezda
Bram Stokerov ""Drakula""
Peti element i sve od Luc Beson-a
Das Boot
Waking life
Bowfinger
...","umetnost"
"Ja volim one malo sentimentalnije:
""Sibirski berberin""
""Život je more"" (francuski film, inače, predivan)
""Srce puno kiše""

Ali i komedije tipa - ""Njeni roditelji"".","umetnost"
"Ono što ja mogu da gledam u svakom momentu i to ovim redosledom:

1.-Mediteraneo,
2.-Treći čovek,
3.-Forrest Gump,
4.-The Blues Brothers
5.-Lovac na jelene","umetnost"
"A је л' воли неко филмове Роберта Бењинија?
(""Живот је леп"", ""Тигар и снег"" и ""Монструм"" су невероватно добри филмови)","umetnost"
"volim i ja pornice","umetnost"
"@Marijana:

""Monstrum"" je genijalan,""Tigar i sneg"" takođe...ali ""Život je lep"" ne mogu da gledam.Predobar je,ali mi je pretužan...Najtužniji film koji sam gledao.","umetnost"
"Da, Monstrum je fenomenalan film. Benigni je dobar i u Jarmusch-ovim filmovima.","umetnost"
"Ја знам да се појављује само у ""Ноћ на земљи"". Где још?","umetnost"
"Курде, јесте стварно ""Живот је леп"" претужан. У неку руку је и јако поучан. Посебно мени као родитељу, некако ме мотивише...","umetnost"
"Recimo da i mene DUPLO motiviše na isti način...:-)","umetnost"
