post,tema,topic
ovom prilikom pozivam filmofile razgovaramo čemu drugom filmovima napište volite volite napišite svoja mišljenja nekima dajte preporuke vam padne pamet početak navesti svojih favorita brazil rosencrantz guildenstern are dead metropolis m orlando der todesking,umetnost,2
 dobar dobar ,umetnost,2
jesi gledao immortal beloved pitam pošto videh amadeus prvi,umetnost,2
 pravu oldman sjajan ti čini gilliam,umetnost,2
stare lepotice dakle mae west ostalo,umetnost,2
rosencrantz guildenstern are dead covece cula film mlađa omiљenih cenim evropsku azijsku kinematografiju izdvajam filmove posebno,umetnost,1
 favorit dr strangelove duhovit film gledam puta,umetnost,2
betty blue film pravljen santa takodje let iznad kukavicjeg gnezda bram stokerov drakula peti element luc besona das boot waking life bowfinger ,umetnost,2
ja volim sentimentalnije sibirski berberin život more francuski film inače predivan srce puno kiše komedije tipa njeni roditelji,umetnost,1
 ja gledam svakom momentu ovim redosledom mediteraneo treći čovek forrest gump blues brothers lovac jelene,umetnost,1
a l voli filmove roberta beњinija život lep tigar sneg monstrum neverovatno dobri filmovi,umetnost,1
volim ja pornice,umetnost,1
marijana monstrum genijalantigar sneg takođeali život lep gledampredobar jeali pretužannajtužniji film gledao,umetnost,1
 monstrum fenomenalan film benigni dobar jarmuschovim filmovima,umetnost,2
ja pojavљuje noć zemљi jod,umetnost,2
kurde jeste stvarno život lep pretužan ruku jako poucan posebno roditeљu nekako motivide,umetnost,2
recimo duplo motiviše isti način,umetnost,1
 filmova matoriji miris zene al al kpax blistavi um poredjenju ovim opasne veze e ljubavni film vredi gledati cito knjigu al verujem neverovatna film ovakav usijane glave pilota avijonu slicne retardirane komedije volim retardirani smisao humor monti pajton mrzi pisem daje ovome moram reci jtu zdrav covek kakvi memopari gejse ameri pokusavaju docaraju svetu vidjenje necega zivotu videli ti ja pocnemo snimamo film jetiju velikom stopalu,umetnost,2
kurd setila jednog dobrog filma kraja sveta volim apokalipticne filmove komercijalne,umetnost,2
httpwwwyoutubecomwatchvgvnjxxhobgfeaturerelated httpwwwyoutubecomwatchvptwcewyfeaturerelated,umetnost,2
odličan izbor kurde dinu upijala gledala bezbroj puta mlađa,umetnost,2
ubiti pticu rugalicu kum rebeka dogodilo bebi džejn let iznad kukavičjeg gnezda balkanski špijun domaćih njuškalo g,umetnost,1
marijana osim pojavljuje night on earth glumi down by law coffee cigarettes čini ,umetnost,1
 vaљda znaci čarmud ceni ,umetnost,2
pošto vidim tema uozbiljilada ja kažem pametno recimo ja najbolji film ikada igde snimljen jeukoliko nekako uporedite kinematografiju književnošćuovaj film kinematografiju književnost zločin kazna braća karamazovi oprostite mojoj očiglednoj pristrasnosti prema ruskim klasicima tarkovski andrej rubljov httpwwwyoutubecomwatchvoxpbwpmxeaifeaturerelated savetujem svakomiole svesnijemda obavezno pogleda garantujem kraju filma osećati makar drugačije ,umetnost,1
tarkovski legendaran razume a ja pereporučujem cook thief his wife her lover petera greenawaya poput danteovog pakla jednom restoranu igraju michael gambon helen mirren httpwwwyoutubecomwatchvtotyamwufeaturerelated,umetnost,2
 ovih danameseci dobri sledeći filmovi verovatno najboljih filmova ikada ordet a la jetee pierrot le fou novijih adrift in tokyo negde pominje nativ tenten whisper of heart water lillies svidelo jtuu sigurnou originalu naissance des pieuvres eureka rekoh ovih dana nekako tarkovskog draži ivanovo detinjstvo ogeldalo rubljova ostalih reče chevu waking life linklater omiljenih a nekog razloga volim filmove camerona crowa naročito almost famous nekako lepi zabavni ni nova navala komedija produkcijske kuće juda appatowa loša year old virgin knocked up superbad forgeting sarah marshal etc,umetnost,2
 padose pamet buffalo film rezirao napisao odglumeo genijalni vincent gallo takodje neponovljiv filmovima la without a map kustinom arizona dream film mnogi vole mrze a izmedju ostalog osvojio soundtrack stavio album fragile omiljene grupe yes mnogi vole mrze hard candy veoma provokativan tabutematican film a very long engagement film prvom svetskom ratu sjajna kinematografija a radili isti likovi pravili reklame stella artois takodje dobra prilika vidite jodie foster glumi francuskom,umetnost,2
forest gumpthe shawshank redemption flight over a cuckoos nestpulp fictionwaterlandfisher kingtrainspottingspiderdead ringersthe big lebowskiapocalypse nowthe doorsthe last of mohicansraging bullthe godfather iiusual suspectscarlitos wayonce upon a time in america itdza dobar film kojeg sledeci put gledas vecim odusevljenjem ,umetnost,1
 big lebowski stvarno odlican film superhik cini nekako prodao nezapaženo dteta,umetnost,2
mareprave stvari uvijek manjinirekao srecommada cini konkurenciji oskara al eto godine braca coen dobise losiji filmimali dobrih filmovaonaj tim robbinsom postave direktora kompanijekako zvase superhik ceska po glavi john turthurom john goodmanom prvi pisac scenarijapa brother where are george cloonyemnimalo holivudski filmovi,umetnost,2
 american beauty kick american ass filmspacey genijalankao nicolas cage leaving las vegasmoj favorit dana opravdavah svoj nicku kini jedu pse zar simpalast tango in paris bertolucijev provokativni klasik ludim brandom shunka shunka bigasa lunetotalno napaljiv film bambolazjb pornice pri tome d meet tge parrents povrsnih komedijatheres something about marrytu probudio ukucane mislili pusio jointseven fight clubfincherova remek djela uh ,umetnost,1
ja tek videh ovu temu oduševila dlz ti strangelove omiljeni film ja molim udaš ,umetnost,2
 preporuka većina preterano poznata jesu uglavnom ovi noviji dobar barem poseban način eureka verovatno top filmova ikada snimlejnih mauvais sang winter passing throw away your books rally in streets straw dogs still life pineapple express trouble every day happygolucky la promesse,umetnost,1
storm of century rekvijem snove diary of elen rimbauer hot fuzz shaun of dead last unicorncrtani secret window pajtonovci pada pamet,umetnost,2
 preporuka obzirom naglo porasla zainteresovanost animirane filmove preporučim crtane filmove ralpha bakshija hey good lookin american pop heavy traffic coonskin fritz cat prvi crtani zabranjen mladje godina preporučujem wizards lord of rings,umetnost,2
ja svima toplo preporučimo festu ovog februarija pogledaju film aleksandar nevski nemam pojma filmu kapiram pišanja kenjanja po mongolima strane brata rusa crkvaju ćordolu realno propustiti,umetnost,2
aleksandar nevski misliš tridesetih godina oda najboljih filmova gledao ikad nemcima spaljuju decu rusima pevajući idu rat pišao živ a tek borba zaleđenom jezeru kraju filma ,umetnost,2
 wall ludilo jednom negde gledala a nigde nadjem nekoj ludnici de sadu svashta odlichan chemu pricham nek javi kill bill coffee cigaretts pijanista sjaj blistavi um bird maratonci d underground pih dalje josh dosta,umetnost,2
obaveznao pogledajte butterfly on a wheel,umetnost,1
 bank job jason statham smeker,umetnost,1
ljudi volite komediju pogledajte harold kumar obaveznoimaju dva dela,umetnost,1
preporucujem rise of footsoldier najbrutalnijih filmova gledao racunajuci rambo rocknrolla jedna majstorija gaja ricija slumdog millionaire nominovan oskaraprocenite sami,umetnost,2
 pomoć pod hitno dobijam karton vina saznam dddd naime naziv jednog filma jeste izašao pred kraj foru armagedona tim jedini film kome asteroid stvarno udari zemlju sjebe vam pomoći sećam kraju filma preživljava ak ljudi izlaze nekog podruma belom tripuju harikrišna fazon dddd kom filmu pričam molim javi unapred fala,umetnost,2
deep impact a asteroid asteroid pošto gledao a ovom trešu dip imapkta preživi ljudi kolko hoćeš manje filmovi kraja devedesetih asteroidudarazemlju tematikom,umetnost,2
e jebigane takosvaki film dobar svoj nacintako nemogu izdvojim a spomenem drugi,umetnost,2
 jednom americi prohujalo vihorom,umetnost,1
cidade de deus brazilski film oduševio uzme obzir zasnovan istinitoj priči garantuje jak doživljaj inače radi sukobu bandi predgrađu rio de žaneira izgleda potpuno autentično glumci deluju pokupljeni ulice stvarno članovi bande,umetnost,2
volim drame omiljeni film kuca cudnih dusa,umetnost,2
