post,tema,topic
ovom prilikom pozivam filmofile razgovaramo čemu drugom filmovima napište volite volite napišite svoja mišljenja nekima dajte preporuke vam padne pamet početak navesti svojih favorita brazil rosencrantz guildenstern are dead metropolis m orlando der todesking,umetnost,NA
 dobar dobar ,umetnost,NA
jesi gledao immortal beloved pitam pošto videh amadeus prvi,umetnost,NA
 pravu oldman sjajan ti čini gilliam,umetnost,NA
stare lepotice dakle mae west ostalo,umetnost,NA
rosencrantz guildenstern are dead covece cula film mlađa omiљenih cenim evropsku azijsku kinematografiju izdvajam filmove posebno,umetnost,NA
 favorit dr strangelove duhovit film gledam puta,umetnost,NA
betty blue film pravljen santa takodje let iznad kukavicjeg gnezda bram stokerov drakula peti element luc beson a das boot waking life bowfinger ,umetnost,NA
ja volim sentimentalnije sibirski berberin život more francuski film inače predivan srce puno kiše komedije tipa njeni roditelji,umetnost,NA
 ja gledam svakom momentu ovim redosledom mediteraneo treći čovek forrest gump blues brothers lovac jelene,umetnost,NA
a l voli filmove roberta beњinija život lep tigar sneg monstrum neverovatno dobri filmovi,umetnost,NA
volim ja pornice,umetnost,NA
marijana monstrum genijalantigar sneg takođeali život lep gledampredobar jeali pretužannajtužniji film gledao,umetnost,NA
 monstrum fenomenalan film benigni dobar jarmusch ovim filmovima,umetnost,NA
ja pojavљuje noć zemљi jod,umetnost,NA
kurde jeste stvarno život lep pretužan ruku jako poucan posebno roditeљu nekako motivide,umetnost,NA
recimo duplo motiviše isti način ,umetnost,NA
 filmova matoriji miris zene al al k pax blistavi um poredjenju ovim opasne veze e ljubavni film vredi gledati cito knjigu al verujem neverovatna film ovakav usijane glave pilota avijonu slicne retardirane komedije volim retardirani smisao humor monti pajton mrzi pisem daje ovome moram reci jtu zdrav covek kakvi memopari gejse ameri pokusavaju docaraju svetu vidjenje necega zivotu videli ti ja pocnemo snimamo film jetiju velikom stopalu,umetnost,NA
kurd setila jednog dobrog filma kraja sveta volim apokalipticne filmove komercijalne,umetnost,NA
odličan izbor kurde dinu upijala gledala bezbroj puta mlađa,umetnost,NA
ubiti pticu rugalicu kum rebeka dogodilo bebi džejn let iznad kukavičjeg gnezda balkanski špijun domaćih njuškalo g,umetnost,NA
marijana osim pojavljuje night on earth glumi down by law coffee cigarettes čini ,umetnost,NA
 vaљda znaci čarmud ceni ,umetnost,NA
pošto vidim tema uozbiljilada ja kažem pametno recimo ja najbolji film ikada igde snimljen jeukoliko nekako uporedite kinematografiju književnošćuovaj film kinematografiju književnost zločin kazna braća karamazovi oprostite mojoj očiglednoj pristrasnosti prema ruskim klasicima tarkovski andrej rubljov savetujem svakomiole svesnijemda obavezno pogleda garantujem kraju filma osećati makar drugačije ,umetnost,NA
tarkovski legendaran razume a ja pereporučujem cook thief wife her lover peter a greenaway a poput danteovog pakla jednom restoranu igraju michael gambon helen mirren ,umetnost,NA
 ovih danameseci dobri sledeći filmovi verovatno najboljih filmova ikada ordet a la jetee pierrot le fou novijih adrift in tokyo negde pominje nativ tenten whisper of heart water lillies svidelo jtu sigurnou originalu naissance des pieuvres eureka rekoh ovih dana nekako tarkovskog draži ivanovo detinjstvo ogeldalo rubljova ostalih reče che vu waking life linklater omiljenih a nekog razloga volim filmove camerona crowa naročito almost famous nekako lepi zabavni ni nova navala komedija produkcijske kuće juda appatowa loša year old virgin knocked up superbad forgeting sarah marshal etc,umetnost,NA
 padose pamet buffalo film rezirao napisao odglumeo genijalni vincent gallo takodje neponovljiv filmovima la without a map kustinom arizona dream film mnogi vole mrze a izmedju ostalog osvojio soundtrack stavio album fragile omiljene grupe yes mnogi vole mrze hard candy veoma provokativan tabu tematican film a very long engagement film prvom svetskom ratu sjajna kinematografija a radili isti likovi pravili reklame stella artois takodje dobra prilika vidite jodie foster glumi francuskom,umetnost,NA
forest gumpthe shawshank redemption flight over a cuckoos nestpulp fictionwaterlandfisher kingtrainspottingspiderdead ringersthe big lebowskiapocalypse nowthe doorsthe last of mohicansraging bullthe godfather iiusual suspectscarlitos wayonce upon a time in america itdza dobar film kojeg sledeci put gledas vecim odusevljenjem ,umetnost,NA
 big lebowski stvarno odlican film superhik cini nekako prodao nezapaženo dteta,umetnost,NA
mareprave stvari uvijek manjinirekao srecommada cini konkurenciji oskara al eto godine braca coen dobise losiji filmimali dobrih filmovaonaj tim robbinsom postave direktora kompanijekako zvase superhik ceska po glavi john turthurom john goodmanom prvi pisac scenarijapa brother where are george cloonyemnimalo holivudski filmovi,umetnost,NA
 american beauty kick american ass filmspacey genijalankao nicolas cage leaving las vegasmoj favorit dana opravdavah svoj nicku kini jedu pse zar simpalast tango in paris bertolucijev provokativni klasik ludim brandom shunka shunka bigasa lunetotalno napaljiv film bambolazjb pornice pri tome d meet tge parrents povrsnih komedijatheres something about marrytu probudio ukucane mislili pusio jointseven fight clubfincherova remek djela uh ,umetnost,NA
ja tek videh ovu temu oduševila dlz ti strangelove omiljeni film ja molim udaš ,umetnost,NA
 preporuka većina preterano poznata jesu uglavnom ovi noviji dobar barem poseban način eureka verovatno top filmova ikada snimlejnih mauvais sang winter passing throw away books rally in streets straw dogs still life pineapple express trouble every day happy go lucky la promesse,umetnost,NA
storm of century rekvijem snove diary of elen rimbauer hot fuzz shaun of dead last unicorn crtani secret window pajtonovci pada pamet,umetnost,NA
 preporuka obzirom naglo porasla zainteresovanost animirane filmove preporučim crtane filmove ralph a bakshi ja hey good lookin american pop heavy traffic coonskin fritz cat prvi crtani zabranjen mladje godina preporučujem wizards lord of rings,umetnost,NA
ja svima toplo preporučimo fest ovog februarija pogledaju film aleksandar nevski nemam pojma filmu kapiram pišanja kenjanja po mongolima strane brata rusa crkvaju ćordolu realno propustiti,umetnost,NA
aleksandar nevski misliš tridesetih godina oda najboljih filmova gledao ikad nemcima spaljuju decu rusima pevajući idu rat pišao živ a tek borba zaleđenom jezeru kraju filma ,umetnost,NA
 wall ludilo jednom negde gledala a nigde nadjem nekoj ludnici de sadu svashta odlichan chemu pricham nek javi kill bill coffee cigaretts pijanista sjaj blistavi um bird maratonci d underground pih dalje josh dosta,umetnost,NA
obaveznao pogledajte butterfly on a wheel,umetnost,NA
 bank job jason statham smeker,umetnost,NA
ljudi volite komediju pogledajte harold kumar obaveznoimaju dva dela,umetnost,NA
preporucujem rise of footsoldier najbrutalnijih filmova gledao racunajuci rambo rocknrolla jedna majstorija gaja ricija slumdog millionaire nominovan oskaraprocenite sami,umetnost,NA
