"post","tema"
"Skoro sam se zajebavao na onoj temi za glasanje kako bi izgledala Srbija da dodje do AI revolucije i statiznam pa se razmisljam i ovako, koliko ce naredni period da bude ili dobar ili nezgodan, i ako se samo mali deo onoga sto trenutno izgleda dohvatljivo u tehnologiji ustvari dohvati.

Koja su vasa predvidjanja recimo za 2050-2100?","drustvo"
"ajmo 2025. prvo 
nista se nije promenilo :D","drustvo"
"na onako relativno pozitivnoj noti bi reko da sam misljenja da srbija nece nuzno da prodje naopako, ako tehnologija pogura drustvo ka nekom kolektivizmu ili statiznam. tu ce najvise da zaostanu oni sto ne prihvataju tehnologiju i misle da je djavolja rabota. (ultra religiozni)

jedino sto plasi u svemu je da tu nece vise da bude kao zaostao si 50 godina, ako ne uhvatis voz sa genetskom modifikacijom ili AI u prvih par godina, iz perspektive nekog ko je uhvatio voz, nece biti neke razlike izmedju sudana i srbije.
EDIT: sta sam napisao ovo koj kurac, ne razumem ni ja","drustvo"
"evo sa one teme sto napisah, sta moze da se desi ako zakasnis za svetom malo:

moja predvidjanja za buducnost srbije su da ce neke 2050te ljudi da postanu genetski modifikovani kiborzi sa supermocima, povezani na globalni AI u alijansi za singularitet koja pocinje da se sastavlja od najmocnijih zemalja vodjena kinom i amerikom, uz protivljenje rusije i par evropskih zemalja.
u srbiji se pojavljuju dve struje, jedna koja hoce da postane deo te alijanse, i druga koja se drzi tradicionalizma. paradoksalno, ova sto hoce da postane se zove progresivna (napredna) stranka. narod je uglavnom tradicionalan, drzi se starih srpskih vrednosti, kosova i pravoslavlja, dok polagano svi oko nas u evropi prelaze u alijansu, postaju cipovani i dobijaju super moci. ali gube dusu.
izmedju 2051. i 2052. dolazi do prevrata u srbiji, gde pro-singularitet struje dobijaju vlast i pripremaju se za kiborgizaciju naroda, kad odjednom, 4. aprila 2052. izbija masovni protest u beogradu sa sloganom ""majka rusija, nikad genetika"", puno ljudi gine i ruse se sve laboratorije, i dize velika pravoslavna crkva koja ce podsecati narod na zrtvu i ponosno drzanje tradicionalnih vrednosti.
ceo slobodni svet aplaudira malom i ponosnom narodu koji je odbacio okove genetske modifikacije i cipovanja, rusi nas drze kao svece, i pravi se protiv alijansa koja ce se boriti protiv dehumanizacije sveta.

2. januara 2053. rusija se pridruzuje alijansi, nakon sto su izdejstvovali da putin i vladajuca stranka postanu jedni od glavnih kiborga sa najnovijim apdejtima.

3. januara 2053. kiborg-bugari prelaze srpsku granicu, nasa vojska se brani svom silinom, sa svih 5 mig-29 aviona, i ponosno biva zrtvovana u prvih 20 sekundi borbe.

4. januara 2053. popodne bugari nam ugradjuju cipove na kojima pise ""evropljanin redni broj, verzija 4.15"" bugari su verzija 5.0.

nocna mora jbt.","drustvo"
"2050. - Srbin i dalje čeka red u pošti da plati račune","drustvo"
"druga strana ovoga je sto postoji dobra sansa da ce depresija da bude bas zajebana u buducnosti, ako covek najzad dostigne taj nivo da se potpuno izbaci iz bilo kakvog doprinosa ekonomiji.

isto i ovo, ako ekonomije prestanu da zavise vise od velikog broja ljudi, vec ti je kao vladaru dovoljno mala elita skolovanih i armija masina, da onda koj kurac ih lecis, skolujes i dajes im pravo glasa, lepo diktatura i ukurac.

tipa za mali broj ljudi postane bas kul, a za ogromnu vecinu mnogo lose.","drustvo"
"sad kad se razmislim ustvari, dal uopste postoji neki film danas koji prikazuje dobru buducnost, ili su sve ovakva sranja?
tipa 30tih su bile price o masinama koje rade sve i tebi lepo, onda 50te si imao neku kao generalnu misao da imas kompjutere i robote koji rade sve a tebi mnogo lepo, sad ""imas robota sto oce da te jebe u dupe konstantno da generise energiju"" blak mirori i ostala govna.
to bas nije dobar znak, posto ta fikcija obicno nekako pretskazuje u kom smeru ide drustvo, jer bilo kakva prica o buducnosti ustvari menja buducnost.","drustvo"
"ako su se najveci naucnici kraja 20. veka i 21. veka sastali da pricaju  o tome koliko bismo mogli najebati od strane AI potencijalno onda im poprilicno verujem posebno pokojnom iskrivljenom stivenu hokingu","drustvo"
"te price koje cak imaju neku potporu u realnosti, tj postoji neka realana verovatnoca da se dodje do toga su dosta strasnije od bilo koje trifors price recimo o gusterima.

meni je recimo strasna realizacija da vestacka inteligencija ustvari uopste nikad i ne mora da dobije svest po definiciji kojom mi smatramo svest, da totalno promeni drustvo.
sto i radi polagano sad kad se pogleda internet. totalno besvesna, cenzurise, tj pretstavlja ti ono sto vidis, i tako bukvalno menja celo drustvo globalno. 

(ove price kao to radi cija i neki sedokosi vladari... vlade su bukvalno jedno 20 koraka iza ovoga. gledaju a ne znaju sta gledaju. to je i problem ustvari)","drustvo"
"Srbija 2050. 

Ostareli vozd AleksAndar Vucic drzi vanrednu konferenciju za stampu. Nagovestaj pristinskih lidera da je vreme da se Presevska dolina pripoji Kosovu tumaci kao provokaciju, ali konstatuje da je najbitnije da mi razvijamo nasu ekonomiju, da rastemo i jacamo. Svi su mu se,  veli, smejali kad je rekao da ce prosecna plata pre kraja 2050. dostici 900 evra, ali izvestaj iz maja kaze da je vec tada bila 893, 894 ako racunate danasnji kurs. Sve je to moguce zahvaljujuci tome sto je narod prepoznao energiju Vlade Srbije i u velikoj meri (81,34%) podrzao vlast. U Skupstini su jos SPS sa 10,12% i predstavnici nacionalnih manjina. Jedini grad gde je opozicija jos uvek u lokalnoj skupstini je Sabac. Bombas na Vukajliji, na kojoj je sem njega jos 3 aktivna clana, argumentuje da je piitanje zivota i smrti da li ce Zelenovic prebaciti cenzus od 3%. Mada sumnja, kaze nije realno otkako je Partizan ugasen. 

Dragan Djilas na Jutjubu objasnjava da ovo stanje nije normalno i kako drzava od 4.8 miliona stanovnika moze da ima 6.5 miliona biraca. Opozicija smatra da je jos jedan bojkot dovoljan da vlast definitivno izgubi legitimitet i u ocima EU. Iz EU porucuju da Srbija treba da nastavi svoj evropski put i obecavaju otvaranje preostala dva neotvorena  poglavlja do kraja godine. Ipak, porucuju, mora se postici pravno obavezujuci sporazum sa Pristinom pre ulaska u EU. N1 pod udarom vlasti zbog Insajder dokumentarca o tome kako je Zeljko Mitrovic nezakonito stekao monopol nad industrijom letecih vozila u Srbiji. Zorana Mihajlovic obecava da ce infrastruktura neophodna da leteci automobili uskoro zasijaju i srpskim nebom biti gotova najkasnije do 2052. Goran Vesic najavljuje skori nastavak radova na prvoj metro liniji, koja je zasad izgradjena samo na potezu Makis - Banovo brdo. 

U Beogradu zivi i zvanicno 2.5 miliona ljudi, nekih 55% populacije.","drustvo"
