post,tema,topic
skoro zajebavao onoj temi glasanje izgledala srbija dodje ai revolucije statiznam razmisljam ovako ce naredni period dobar nezgodan mali deo onoga trenutno izgleda dohvatljivo tehnologiji ustvari dohvati vasa predvidjanja recimo ,drustvo,2
ajmo prvo promenilo d,drustvo,1
 onako relativno pozitivnoj noti reko misljenja srbija nece nuzno prodje naopako tehnologija pogura drustvo ka nekom kolektivizmu statiznam ce najvise zaostanu prihvataju tehnologiju misle djavolja rabota ultra religiozni jedino plasi svemu nece zaostao godina uhvatis voz genetskom modifikacijom ai prvih godina perspektive nekog uhvatio voz nece razlike izmedju sudana srbije edit napisao koj razumem ni ja,drustvo,1
 teme napisah desi zakasnis svetom predvidjanja buducnost srbije ce ljudi postanu genetski modifikovani kiborzi supermocima povezani globalni ai alijansi singularitet pocinje sastavlja najmocnijih zemalja vodjena kinom amerikom uz protivljenje rusije evropskih zemalja srbiji pojavljuju dve struje jedna hoce postane deo alijanse druga drzi tradicionalizma paradoksalno hoce postane zove progresivna napredna stranka narod uglavnom tradicionalan drzi starih srpskih vrednosti kosova pravoslavlja polagano evropi prelaze alijansu postaju cipovani dobijaju super moci gube dusu izmedju dolazi prevrata srbiji prosingularitet struje dobijaju vlast pripremaju kiborgizaciju naroda odjednom aprila izbija masovni protest beogradu sloganom majka rusija genetika puno ljudi gine ruse laboratorije dize velika pravoslavna crkva ce podsecati narod zrtvu ponosno drzanje tradicionalnih vrednosti ceo slobodni svet aplaudira malom ponosnom narodu odbacio okove genetske modifikacije cipovanja rusi drze svece pravi protiv alijansa ce boriti protiv dehumanizacije sveta januara rusija pridruzuje alijansi nakon izdejstvovali putin vladajuca stranka postanu jedni glavnih kiborga najnovijim apdejtima januara kiborgbugari prelaze srpsku granicu nasa vojska brani svom silinom svih mig aviona ponosno biva zrtvovana prvih sekundi borbe januara popodne bugari ugradjuju cipove pise evropljanin redni broj verzija bugari verzija nocna jbt,drustvo,1
 srbin dalje čeka red pošti plati račune,drustvo,1
druga strana ovoga postoji dobra sansa ce depresija zajebana buducnosti covek najzad dostigne nivo potpuno izbaci kakvog doprinosa ekonomiji ekonomije prestanu zavise velikog broja ljudi ti vladaru dovoljno mala elita skolovanih armija masina koj lecis skolujes dajes im pravo glasa lepo diktatura ukurac tipa mali broj ljudi postane kul a ogromnu vecinu lose,drustvo,1
 razmislim ustvari dal uopste postoji film prikazuje dobru buducnost ovakva sranja tipa tih bile price masinama rade lepo generalnu misao kompjutere robote rade a lepo robota oce dupe konstantno generise energiju blak mirori ostala dobar znak posto fikcija obicno nekako pretskazuje kom smeru ide drustvo kakva prica buducnosti ustvari menja buducnost,drustvo,2
 najveci naucnici kraja veka veka sastali pricaju tome bismo mogli najebati strane ai potencijalno im poprilicno verujem posebno pokojnom iskrivljenom stivenu hokingu,drustvo,2
 price cak potporu realnosti tj postoji realana verovatnoca dodje dosta strasnije trifors price recimo gusterima recimo strasna realizacija vestacka inteligencija ustvari uopste dobije svest po definiciji kojom smatramo svest totalno promeni drustvo radi polagano pogleda internet totalno besvesna cenzurise tj pretstavlja ti vidis bukvalno menja celo drustvo globalno price radi cija sedokosi vladari vlade bukvalno jedno koraka iza ovoga gledaju a znaju gledaju problem ustvari,drustvo,2
srbija ostareli vozd aleksandar vucic drzi vanrednu konferenciju stampu nagovestaj pristinskih lidera vreme presevska dolina pripoji kosovu tumaci provokaciju konstatuje najbitnije razvijamo nasu ekonomiju rastemo jacamo mu veli smejali rekao ce prosecna plata kraja dostici evra izvestaj maja kaze tada racunate danasnji kurs moguce zahvaljujuci tome narod prepoznao energiju vlade srbije velikoj meri podrzao vlast skupstini sps predstavnici nacionalnih manjina jedini grad opozicija lokalnoj skupstini sabac bombas vukajliji kojoj sem aktivna clana argumentuje piitanje zivota smrti ce zelenovic prebaciti cenzus sumnja kaze realno otkako partizan ugasen dragan djilas jutjubu objasnjava stanje normalno drzava miliona stanovnika miliona biraca opozicija smatra bojkot dovoljan vlast definitivno izgubi legitimitet ocima eu eu porucuju srbija nastavi svoj evropski put obecavaju otvaranje preostala dva neotvorena poglavlja kraja godine porucuju postici pravno obavezujuci sporazum pristinom ulaska eu n pod udarom vlasti insajder dokumentarca tome zeljko mitrovic nezakonito stekao monopol nad industrijom letecih vozila srbiji zorana mihajlovic obecava ce infrastruktura neophodna leteci automobili uskoro zasijaju srpskim nebom gotova najkasnije goran vesic najavljuje skori nastavak radova prvoj metro liniji zasad izgradjena potezu makis banovo brdo beogradu zivi zvanicno miliona ljudi nekih populacije,drustvo,1
