post,tema,topic
evropsko prvenstvo fudbalu održati nemačkoj juna jula godine a žrebu hamburgu izvučene grupe šampionat otvaraju nemačka škotska juna minhenu a grupa nemačka škotska mađarska švajcarska b grupa španija hrvatska italija albanija c grupa slovenija danska srbija engleska d grupa plejof a holandija austrija francuska e grupa belgija slovačka rumunija plejof b f grupa turska plejof c portugal češka,sport,2
 l popunjena plejof mesta ispratio,sport,2
super l izadao album euro,sport,1
al b grupa jebena žao ,sport,1
konacno official tema,sport,2
uvodni post vnugo skim ukrstano daj vidim put zlata jebo grupe,sport,1
hahah kopirao vikipedije ček,sport,2
 super l izadao album euro izašo mesec dana sranje ja preskačem jebo topps,sport,2
grupa a nemacka dvajcarska dkotska mađarska grupa b albanija italija hrvatska dpanija grupa c srbija engleska danska slovenija grupa d austrija francuska holandija poљska grupa e rumunija belgija slovacka ukrajina grupa f cedka turska portugalija gruzija,sport,2
ažurirane grupe,sport,2
 mog promenim uvodni post kajzen,sport,1
grupe e f smejurija,sport,2
izašo mesec dana sranje ja preskačem jebo ihtopps ok potražiću album revidirati oceniti ja raduje info,sport,2
gleam vidim nigde stage ii netu izgleda novi broj repki komplikuje vrv ce zreb toku takmicenja,sport,1
httpsscontentfbegfnafbcdnnetvtnjpgnccatnccbbebeccbncsidfncohcolzyteacryqknvgggotznchtscontentfbegfnaohaycziuzuhoobzlovaggskoqidtedtbbgedwoedc drdte gaće braćo,sport,2
radujem ivani knol ocemol imati official prepicku dize atmocveru,sport,1
ahaahah aj beži ivana knol imaćemo duu lipu,sport,2
dobra instagramu svejedno necu jebati uzivo rusi djeda bozicnjaka,sport,2
 kurve žeљne pažњe tekme engleskom sigurno ,sport,1
simsilice pixi necemo blamiramo moyda odbrani igramo,sport,2
 jedno prvenstvo gledam potpuno rasterećeno bezbrižno uz kaficu vops prepunoj basti kafića la vie est belle,sport,2
httpsiimgflipcomqosqcjpg,sport,2
 a ozb zamisli gledam nase mucenike dozivljavam stresove pitam radimo dospjeli uopste nek drže prijateljskih ojačaju,sport,2
a jeste kapiram ja doživeo vrstu katarze otkako konjušar javno deklarisana botina ni najmanje tangiraju njegovi fejlovi miru apsolutnim guštom ispratim dešavanja sportu pod obručima,sport,2
cist autosovinizam oba primera,sport,1
 osmoricom odbrani primimo gola mister odluci veliki strucњak,sport,2
mister krinkle,sport,2
pixi trenutno real ubazda njegovom putu zoc bukv,sport,1
 osim teškog debakla xporaz razlike uspeh piksi jedno tvrdoglavo stvorenje jedini put odustao njegove nazvaćemo taktike nesrećni bunker protiv brazila vidim način primimo komada engleza l gore bunker viktorije probamo im damo gol glavi onih kvalifikacijama euro fcking linekerbrdslibarns slovence ispratio uzimali nekog igra fudbal klepili po tintari a danci pobede tri meča prilagodi taktika nismo moćni idemo foru nek protivnici koriguju svoju taktiku igramo predvidljivo madjari objasnili relativno slabija ekipa uništi umesto piksi nauči nastavio svoju demagogiju menja taktika igrači uklapaju taktiku a jni gudelj mu kičma tima,sport,1
 imamo individualno pretalentovane sportiste svakom sportu glupe kasnije postaju gluplji treneri veze stranačkih zasluga,sport,1
 širi spisak engleske httpspbstwimgcommediagogqhtewoaamfhformatpngnamesmall stvarno iznenađen rashforda neizostavan član svake sautgejtove repke jebiga izgleda ispuco sav kredit a mučeni solanke ispušio vreme prešalta nigeriju uradio menadžera ajvan toni diskutabilna odluka najblaže rečeno svakako ni ni drugi primirisali terenu osim izmene minutu vode starteri utakmicama protiv slabijih protivnika srbija ,sport,2
lolol megvajer dobio poziv n a d e a d e,sport,1
 zvali rashforda,sport,1
engleska najprecenjenija repka svetu ikad pobedice znamo kurca al eng inace suvi prosek jebeni igraju cene napumpane svakako italija jedna tipa ce resi prelagano a jaca repka,sport,1
englezi ubd najveći kompleksaši sportu ni jednoj viđenijoj disciplini redovno olimpijadama pokupe medalja tuce al nekim šljb sportovima tipa veslanje guščjim perjem skakanje po kurcu umetničko bacanje pod voz peče kilavi,sport,1
a igra prvenstvo fudbalu razlog,sport,1
 odredi najbolji trenutno,sport,2
zapravo pitanje,sport,1
jebače ti navijaš rajh ni pitamo pravi festival vaterland osvoji domaćem terenu,sport,1
 obzirom kolko glup razlog,sport,2
 macka uzima ker xnio xnio xnio,sport,2
 kom smislu pitanje zašto dovoditi pitanje igranje ovog jednog takmičenja zašto igra svetsko prvenstvo azijska liga šampiona estonski kup pitanje izdrkavanje malenog vidite ja pratim sportove ja bavim bitnijim stvarima životu filosofija vjera boja kože oblici lobanja ljudi poznajem ,sport,2
rare smoleman win,sport,2
 smislu pomazimo po glavi ponekad ublažavamo šansu spontani masakr heklerom studentskoj menzi bar a izbor repstacije pravu ,sport,1
jebace lakse stvorices monstera kapsula tesna,sport,2
taman rekoh napravim grupu napljujem baletane al vidim vredan,sport,2
plašim potopa protiv engleza tipa ,sport,1
ma opudteno pladili potopa protiv brasila uz najљepdi gol turniru,sport,1
 nebitno pixi gledanje kakva mejmuncina,sport,2
 vucić retoriku lupeta spinuje muљa debil odvratni,sport,2
httpswwwyoutubecomwatchvqvdorckno aca lukas gospodin sećam ovoga kacam gledo godina aahhahahah,sport,1
retard utalio uzeo para para a ovamo jede cim pita uzimas izadje tv odlazak euro iskupio svecko dajte novaca,sport,1
bar ce rade kladionica imati materijala kvalitetno sere steta prodo puste rts uopste put,sport,1
nemojmo zaboraviti antić nikakav uspeh najjacom repkom posledњih godina,sport,1
al formacije barsa lol ovi srednji trče napred nazad l ukapirao rupčaga jebena xd,sport,1
 totalni fudbal dddddddd,sport,1
prva poslednja slovencima ok losi termini gledanje,sport,1
httpsvocarojjbaiu,sport,1
 nismo favoriti ni sutra prijateljskoj šveđanima lol,sport,2
a ni plasirali eruo,sport,2
avg srb izgleda modz osokoli repka prodje jokara kae d a a,sport,2
stae englezi popusili islanda bice mesa,sport,2
engleska italija engleska italija mesto fifa rang listi ljudi očajni fudbalu,sport,1
uuuu veceras ibracadabra oprasta uz srbiju a koga drugog izabrati full rispekt ledjendu,sport,1
ma ja mislio lik penzioniso ore godine,sport,2
iličić spisku slovenije btw jebaće joshka,sport,1
psiho rajković golu aha ok japanac strucnog dtaba peva himnu top,sport,1
 verue tim cujem,sport,2
gol protiv portugala,sport,1
najsvetliji momenat novijoj istoriji,sport,1
dobra reakcija mitrovića uklizavaњe lob eo dudebrižnici prolazimo grupu,sport,1
prolazimo grupu kupu malih evropskih zemalja lol vidiš ti kakva švedska gledam makedoniju,sport,1
sprdam naravno promadaj vlahovića stilu krasića ,sport,2
velesila,sport,1
 odbrana presmotana rispekt rajkovića,sport,1
zatisje pred jednu dobijemo bice jaja ce obj uspeh,sport,2
